EmployeeID,SatisfactionScore,WorkLifeBalance,Salary,YearsAtCompany,Department,5th percentile,Flag outliers,95th percentile
894,5,3.0,"99,722.16",9,Operations,36163.39357,Outlier,84877.73349
1554,2,3.0,"99,471.61",23,Operations,36160.99639,Outlier,84859.15084
1308,7,3.0,"98,566.05",10,IT,36158.59921,Outlier,84784.55588
31,9,2.0,"97,943.47",14,Finance,36156.20202,Outlier,84661.66218
1092,6,4.0,"97,865.95",10,Finance,36153.80484,Outlier,84631.30764
1627,10,2.0,"97,716.58",13,IT,36151.40765,Outlier,84510.21966
816,2,3.0,"97,556.94",29,Operations,36149.01047,Outlier,84402.73603
1512,1,4.0,"97,483.01",10,Sales,36146.61329,Outlier,84352.35779
392,5,2.0,"97,452.27",20,Finance,36144.2161,Outlier,84309.80761
970,5,5.0,"97,341.92",0,Operations,36141.81892,Outlier,84280.87357
1960,8,1.0,"95,873.32",20,HR,36139.42174,Outlier,84193.9331
993,6,4.0,"95,702.85",8,Sales,36137.02455,Outlier,84039.10605
1988,5,Unknown,"95,685.14",13,HR,36134.62737,Outlier,83945.43083
566,10,1.0,"95,424.17",3,HR,36132.23019,Outlier,83904.27629
417,10,Unknown,"94,409.66",24,Operations,36129.833,Outlier,83817.93803
1734,4,1.0,"94,398.17",3,HR,36127.43582,Outlier,83695.63203
369,5,2.0,"93,985.69",4,Finance,36125.03863,Outlier,83669.66793
1085,8,4.0,"93,882.41",16,Finance,36122.64145,Outlier,83587.9936
375,7,Unknown,"93,390.28",11,Sales,36120.24427,Outlier,83469.03345
1454,10,1.0,"92,786.70",8,Finance,36117.84708,Outlier,83464.04278
1955,8,5.0,"92,073.14",0,Sales,36111.65206,Outlier,83264.25998
882,6,4.0,"92,024.44",28,Sales,36105.45703,Outlier,83137.95747
1127,2,3.0,"91,685.19",20,Operations,36099.26201,Outlier,83100.45855
1087,2,3.0,"91,536.55",21,Operations,36093.06698,Outlier,83044.84369
1000,9,3.0,"91,514.68",5,Operations,36086.87196,Outlier,83019.59644
1106,2,4.0,"91,340.14",0,Sales,36080.67693,Outlier,83002.85913
364,6,2.0,"91,219.04",16,HR,36074.4819,Outlier,82985.1358
680,8,4.0,"91,165.16",5,Finance,36068.28688,Outlier,82955.70077
1555,3,2.0,"90,948.71",18,HR,36062.09185,Outlier,82887.81551
1259,8,3.0,"90,743.62",5,Finance,36055.89683,Outlier,82797.9213
